Vendor Name,Product & Service Names,VAR/Reseller
Proofpoint,Prof Services - Microsoft,Herjavec
Crowdstrike,Security Product - anti-virus,Herjavec
Okta,"Security Product - IAM, SSO",Herjavec
Delinea,Security Product - PAM,Herjavec
Prisma Cloud,Security Product - DLP,Logicalis
Tenable,Security Product,Mission Critical
Cyderes/Google Chronicle,Security Product - SIEM,Herjavec
Cisco,"Network, Physical Infrastructure",Logicalis
Palo Alto,Network Cloud Security,Logicalis
Pure,Storage,Logicalis
Rubrik,Backups,Logicalis
Citrix,"Networking, Virtualization",Logicalis
vmWare,Virtualization,Logicalis
Megaport,Networking NaaS,Logicalis
Nutanix,Infrastructure Cloud,Logicalis
Spectrum,Telecom,Logicalis
US CLOUD,Prof Services - Microsoft,Logicalis
Extreme,Network hardware and software,Logicalis
Netapp,Networking,Logicalis
Solarwinds,Network Systems Management,Logicalis
